edge_id;edge_len;flow_total;flow_line_0;flow_line_1;flow_line_2;flow_line_3;flow_line_4;flow_line_5;flow_line_6;flow_line_7;flow_line_8;flow_line_9;flow_line_10;flow_line_11;flow_line_12;flow_line_13;flow_line_14;flow_line_15;flow_line_16;flow_line_17;flow_line_18;flow_line_19;flow_line_20;flow_line_21;flow_line_22;flow_line_23;flow_line_24;flow_line_25;flow_line_26;flow_line_27
2;1.4;187.61999999999966;0.0;0.0;0.0;0.0;0.0;0.0;133.71999999999966;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5;0.0;0.0;0.0;0.0
20;2.0;77.24999999964622;0.0;0.0;0.0;0.0;0.0;42.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.24;0.0;0.0;0.0;0.0;0.0;0.0;19.569999999646218;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;2.0;8.370000000000001;0.0;0.0;0.0;0.0;8.370000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;1.2;43.02999999991805;0.0;0.0;0.0;0.0;5.5299999999180445;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5;0.0;0.0;0.0;0.0;0.0;0.0
23;1.2;62.010000000036754;0.0;0.0;0.0;0.0;0.0;42.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.570000000036753;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;2.0;27.989999999999995;0.0;0.0;0.0;0.0;0.0;25.429999999999993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.560000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;2.0;141.04000000000022;0.0;0.0;0.0;0.0;103.5400000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.50000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;1.2;279.04999999999995;0.0;0.0;191.54999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;37.5;0.0;0.0;0.0
27;1.2;169.3799999999999;0.0;0.0;0.0;107.98000000000025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.57999999999965;0.0;0.0;0.0;0.0;0.0;35.82000000000002;0.0;0.0
28;1.2;201.80000000000015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.00000000000006;0.0;0.0;151.8000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;1.2;187.1500000000007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.50000000000034;0.0;0.0;0.0;0.0;149.65000000000035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;1.4;18.700000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.700000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
