network;sweep;n;VSS_RP_mean_pct;VSS_RP_median_pct;EVPI_RP_mean_pct;EVPI_RP_median_pct;RP_median;WS_median;EEV_nom_median;case_k;case_per_run;case_selection;bypass_multiplier;overdemand_threshold;overdemand_multiplier;case_p_fail;cost_repl_freq;cost_repl_line
mumford0;main;30;0.589;0.0;0.586;0.0;114004.0;112961.0;114841.0;1;2.0;line_consecutive;;;;;;
mumford0;main;30;0.562;0.0;0.58;0.281;111636.0;110710.0;112060.0;1;3.0;line_consecutive;;;;;;
mumford0;main;30;0.425;0.0;0.452;0.0;113267.0;112775.0;113789.0;1;5.0;line_consecutive;;;;;;
mumford0;main;30;0.714;0.274;0.665;0.344;112690.0;112126.0;114149.0;1;8.0;line_consecutive;;;;;;
mumford0;main;30;0.658;0.127;0.62;0.172;113920.0;113033.0;114841.0;2;1.0;line_all;;;;;;
mumford0;main;28;0.739;0.13;0.719;0.528;114681.0;113698.0;115711.0;2;1.0;line_consecutive;;;;;;
mumford0;main;30;0.621;0.0;0.539;0.0;113920.0;113681.0;114841.0;2;1.0;random;;;;;;
mumford0;main;30;0.646;0.127;0.648;0.312;112061.0;111513.0;112582.0;2;1.0;share_stop;;;;;;
mumford0;main;30;0.783;0.13;0.742;0.529;112367.0;111507.0;113755.0;3;1.0;line_all;;;;;;
mumford0;main;19;0.44;0.0;0.412;0.0;110698.0;110649.0;110698.0;3;1.0;line_consecutive;;;;;;
mumford0;main;30;0.508;0.0;0.571;0.137;111369.0;110897.0;111659.0;3;1.0;random;;;;;;
mumford0;main;30;0.594;0.0;0.576;0.0;113920.0;113681.0;114841.0;3;1.0;share_stop;;;;;;
mumford0;main;11;0.673;0.254;0.749;0.344;115265.0;115265.0;115265.0;4;1.0;line_consecutive;;;;;;
mumford0;bypass;30;0.324;0.0;0.424;0.187;109102.0;108609.0;109192.0;1;;;10.0;;;;;
mumford0;bypass;30;0.545;-0.0;0.495;0.0;110703.0;110471.0;111040.0;1;;;20.0;;;;;
mumford0;bypass;30;0.364;0.0;0.363;0.0;110750.0;110400.0;110845.0;1;;;50.0;;;;;
mumford0;bypass;30;0.449;0.0;0.391;0.0;111085.0;110630.0;111507.0;1;;;100.0;;;;;
mumford0;bypass;30;0.417;0.0;0.38;0.0;110750.0;110605.0;110845.0;1;;;200.0;;;;;
mumford0;bypass;28;0.745;0.352;0.838;0.556;114360.0;113699.0;114993.0;2;;;10.0;;;;;
mumford0;bypass;28;0.776;0.426;0.762;0.628;116486.0;115301.0;117777.0;2;;;20.0;;;;;
mumford0;bypass;28;0.732;0.13;0.761;0.528;117580.0;116081.0;118331.0;2;;;50.0;;;;;
mumford0;bypass;28;0.699;0.129;0.701;0.383;117580.0;116081.0;118331.0;2;;;100.0;;;;;
mumford0;bypass;28;0.661;0.126;0.656;0.311;117580.0;116446.0;118331.0;2;;;200.0;;;;;
mumford0;overdemand;30;0.376;-0.0;0.425;0.0;107417.0;106858.0;107492.0;1;;;;0.5;1.0;;;
mumford0;overdemand;30;0.433;0.0;0.36;0.0;119669.0;119623.0;119875.0;1;;;;0.5;2.0;;;
mumford0;overdemand;30;0.505;0.055;0.372;0.236;137561.0;137025.0;138199.0;1;;;;0.5;5.0;;;
mumford0;overdemand;30;0.445;-0.0;0.475;0.0;107658.0;106979.0;108605.0;1;;;;0.75;1.0;;;
mumford0;overdemand;30;0.448;0.0;0.421;0.0;110654.0;110367.0;110750.0;1;;;;0.75;2.0;;;
mumford0;overdemand;30;0.504;0.0;0.318;0.112;116280.0;115982.0;116628.0;1;;;;0.75;5.0;;;
mumford0;overdemand;30;0.557;-0.0;0.596;0.023;108255.0;106740.0;108622.0;1;;;;1.0;1.0;;;
mumford0;overdemand;30;0.427;-0.0;0.478;0.022;107417.0;106624.0;107492.0;1;;;;1.0;2.0;;;
mumford0;overdemand;30;0.386;-0.0;0.432;0.012;107658.0;107148.0;108318.0;1;;;;1.0;5.0;;;
mumford0;overdemand;28;0.736;0.164;0.848;0.596;113985.0;112589.0;115114.0;2;;;;0.5;1.0;;;
mumford0;overdemand;28;0.673;0.0;0.583;0.379;126428.0;124926.0;127292.0;2;;;;0.5;2.0;;;
mumford0;overdemand;28;0.757;0.403;0.643;0.406;145794.0;144450.0;148076.0;2;;;;0.5;5.0;;;
mumford0;overdemand;28;0.736;0.164;0.848;0.596;113985.0;112589.0;115114.0;2;;;;0.75;1.0;;;
mumford0;overdemand;28;0.732;0.13;0.761;0.528;117580.0;116081.0;118331.0;2;;;;0.75;2.0;;;
mumford0;overdemand;28;0.944;0.178;0.587;0.463;123410.0;122207.0;123947.0;2;;;;0.75;5.0;;;
mumford0;overdemand;28;0.736;0.164;0.848;0.596;113985.0;112589.0;115114.0;2;;;;1.0;1.0;;;
mumford0;overdemand;28;0.736;0.164;0.848;0.596;113985.0;112589.0;115114.0;2;;;;1.0;2.0;;;
mumford0;overdemand;28;0.736;0.164;0.848;0.596;113985.0;112589.0;115114.0;2;;;;1.0;5.0;;;
mumford0;pfail;30;0.399;0.0;0.364;0.0;110654.0;110162.0;110750.0;1;;;;;;0.05;;
mumford0;pfail;30;0.531;0.0;0.496;0.0;110845.0;110605.0;111187.0;1;;;;;;0.1;;
mumford0;pfail;30;0.364;0.0;0.363;0.0;110750.0;110400.0;110845.0;1;;;;;;0.2;;
mumford0;pfail;30;0.456;0.0;0.406;0.0;111085.0;110630.0;111507.0;1;;;;;;0.3;;
mumford0;pfail;30;0.448;0.0;0.421;0.0;110654.0;110367.0;110750.0;1;;;;;;0.4;;
mumford0;pfail;30;0.443;0.0;0.411;0.0;110793.0;110395.0;111187.0;1;;;;;;0.5;;
mumford0;pfail;30;0.557;0.0;0.514;0.0;111428.0;110605.0;111659.0;1;;;;;;0.6;;
mumford0;pfail;30;0.416;0.0;0.419;0.0;110654.0;110162.0;110750.0;1;;;;;;0.7;;
mumford0;pfail;30;0.391;0.0;0.379;0.0;110845.0;110630.0;111187.0;1;;;;;;0.8;;
mumford0;pfail;30;1.54;0.0;0.147;0.0;114969.0;114604.0;116030.0;1;;;;;;0.9;;
mumford0;pfail;30;1.77;0.0;0.08;0.0;115927.0;115683.0;117888.0;1;;;;;;0.95;;
mumford0;pfail;28;0.732;0.13;0.761;0.528;117580.0;116081.0;118331.0;2;;;;;;0.05;;
mumford0;pfail;28;0.732;0.13;0.761;0.528;117580.0;116081.0;118331.0;2;;;;;;0.1;;
mumford0;pfail;28;0.732;0.13;0.761;0.528;117580.0;116081.0;118331.0;2;;;;;;0.2;;
mumford0;pfail;28;0.732;0.13;0.761;0.528;117580.0;116081.0;118331.0;2;;;;;;0.3;;
mumford0;pfail;28;0.732;0.13;0.761;0.528;117580.0;116081.0;118331.0;2;;;;;;0.4;;
mumford0;pfail;28;0.732;0.13;0.761;0.528;117580.0;116081.0;118331.0;2;;;;;;0.5;;
mumford0;pfail;28;0.732;0.13;0.761;0.528;117580.0;116081.0;118331.0;2;;;;;;0.6;;
mumford0;pfail;28;0.732;0.13;0.761;0.528;117580.0;116081.0;118331.0;2;;;;;;0.7;;
mumford0;pfail;28;0.732;0.13;0.761;0.528;117580.0;116081.0;118331.0;2;;;;;;0.8;;
mumford0;pfail;28;2.24;0.922;0.205;0.148;125084.0;124838.0;128888.0;2;;;;;;0.9;;
