edge_id;edge_len;flow_total;flow_line_0;flow_line_1;flow_line_2;flow_line_3;flow_line_4;flow_line_5;flow_line_6;flow_line_7;flow_line_8;flow_line_9;flow_line_10;flow_line_11;flow_line_12;flow_line_13;flow_line_16;flow_line_17;flow_line_18;flow_line_19;flow_line_24;flow_line_25;flow_line_26;flow_line_27
10;1.8;114.22999999999999;0.0;0.0;0.0;0.0;114.22999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;1.8;25.149999999999924;0.0;0.0;0.0;0.0;0.0;25.149999999999924;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;2.4;224.9999999999999;0.0;0.0;0.0;0.0;0.0;0.0;224.9999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;2.4;68.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;68.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;2.0;60.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.43;0.0;0.0;0.0;0.0;0.0;0.0
15;2.0;110.63999999999994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110.63999999999994;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;1.2;282.1;0.0;0.0;0.0;0.0;132.10000000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;149.99999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;1.2;59.510000000000005;0.0;0.0;0.0;0.0;0.0;9.51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.00000000000001;0.0;0.0;0.0;0.0;0.0;0.0
18;1.2;300.0;0.0;0.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;1.2;76.32;0.0;0.0;0.0;76.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;1.4;177.42000000000002;0.0;0.0;0.0;0.0;0.0;0.0;177.42000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;2.0;77.67999999999999;0.0;0.0;0.0;0.0;0.0;42.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.239999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;2.0;4.58;0.0;0.0;0.0;0.0;4.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;1.2;16.03;0.0;0.0;0.0;0.0;16.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;1.2;42.44;0.0;0.0;0.0;0.0;0.0;42.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;2.0;44.55999999999999;0.0;0.0;0.0;0.0;0.0;28.560000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.999999999999984;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
