edge_id;edge_len;flow_total;flow_line_0;flow_line_1;flow_line_2;flow_line_3;flow_line_4;flow_line_5;flow_line_6;flow_line_7;flow_line_8;flow_line_9;flow_line_10;flow_line_11;flow_line_12;flow_line_13;flow_line_14;flow_line_15;flow_line_16;flow_line_17;flow_line_20;flow_line_21;flow_line_22;flow_line_23;flow_line_24;flow_line_25;flow_line_26;flow_line_27
23;1.2;86.11000005608494;0.0;0.0;0.0;37.5;0.0;37.689999999999806;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.920000056085144;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;2.0;26.300000001786117;0.0;0.0;0.0;0.0;0.0;8.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.240000001786115;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;2.0;192.8999995130157;0.0;0.0;0.0;0.0;112.49999999252967;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.50000006166805;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.899999458818;0.0;0.0
28;1.2;349.999999982458;0.0;0.0;50.00000000000008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.00000000178612;0.0;0.0;249.99999998067182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;1.2;235.07999930791397;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5;0.0;0.0;0.0;0.0;160.07999930791394;0.0;0.0;0.0;0.0;0.0;37.500000000000014;0.0;0.0
30;1.8;158.74;0.0;121.88000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31;1.8;300.0000000014286;250.00000000142856;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;2.6;127.91999998182474;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;106.7799999827046;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.139999999120146;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33;2.6;263.89999928918644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;130.39999987864672;0.0;0.0;0.0;0.0;0.0;0.0;0.0;133.49999941053971;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34;2.0;300.00000001636045;250.00000001530262;0.0;50.0000000010578;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
