source;network;scenario_line_data;procedure;routing_agg;waiting_time_frequency;gap;time_limit;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;cost_repl_freq;cost_repl_line;repl_budget;bypass_multiplier;overdemand_threshold;overdemand_multiplier;num_od;train_capacity;infrastructure_capacity;max_frequency;threads;scenario_infra_id;scenario_prob_id;case_k;case_per_run;case_variants;case_selection;case_p_fail;case_id;case_sweep_row;case_variant_idx;case_edges;case_lines;run_group_id;status_code;status;objective;runtime_s;opt_gap;cost_time;cost_time_base;cost_time_over;cost_bypass;cost_wait;cost_oper;obj_stage1;obj_stage2_exp;repl_cost_freq_exp;repl_cost_path_exp;repl_cost_exp;variant
lintim;SiouxFalls;SiouxFalls;separated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;250;50;10;10;16;1036;1036;1;1;5;line_consecutive;0.5;1036;7;1;20-22;11;g_000;2;OPTIMAL;137899.06;9.085925102233888;0.0;93156.73999999996;91716.15999999996;1440.579999999999;0.0;19377.52;25364.800000000003;68949.52999999998;68949.53;0.0;0.0;0.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;eev;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;250;50;10;10;16;1036;1036;1;1;5;line_consecutive;0.5;1036;7;1;20-22;11;g_000;2;OPTIMAL;137899.05999999994;7.852757215499878;0.0;93156.73999999992;91716.15999999996;1440.579999999998;0.0;19377.52;25364.800000000003;68949.52999999994;68949.53;0.0;0.0;0.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;ws;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;400;50;10;10;16;1052;1052;1;1;5;line_consecutive;0.5;1052;10;2;10-11;1,7,10;g_000;9;TIME_LIMIT;167479.22999999998;6141.431031227112;0.021219362360672;113661.78999999996;109820.98499999994;3840.8049999999994;0.0;22908.64;28058.800000000007;80343.66499999992;87135.56499999994;1170.0;1680.0;2850.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;integrated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;400;50;10;10;16;1052;1052;1;1;5;line_consecutive;0.5;1052;10;2;10-11;1,7,10;g_000;9;TIME_LIMIT;169621.16000000108;6001.71993803978;0.0339883268242324;114388.73000000004;109518.85500000004;4869.875;0.0;22953.63000000107;27668.80000000001;80522.66;89098.500000001;1170.0;3440.0;4610.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;separated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;400;50;10;10;16;1052;1052;1;1;5;line_consecutive;0.5;1052;10;2;10-11;1,7,10;g_000;2;OPTIMAL;170780.22999999995;1257.3490571975708;0.0;112783.52999999996;109606.25499999996;3177.275;0.0;22415.899999999998;27300.800000000003;79122.78999999995;91657.44;3240.0;5040.0;8280.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;eev;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;400;50;10;10;16;1052;1052;1;1;5;line_consecutive;0.5;1052;10;2;10-11;1,7,10;g_000;2;OPTIMAL;169882.84000000003;892.0280132293701;5.566445218135665e-06;114135.97;109973.855;4162.114999999999;0.0;22772.069999999992;27384.800000000003;79943.30000000002;89939.54000000001;2230.0;3360.0;5590.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;ws;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1026;1026;1;1;5;line_consecutive;0.5;1026;5;1;7-18;3,11;g_000;2;OPTIMAL;109182.56999999998;217.46037101745603;0.0;72488.16999999995;70355.05999999995;2133.109999999996;0.0;15361.599999999997;21332.8;54591.28499999997;54591.28499999999;0.0;0.0;0.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;integrated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1026;1026;1;1;5;line_consecutive;0.5;1026;5;1;7-18;3,11;g_000;2;OPTIMAL;109515.0;306.22292280197144;0.0;72300.31999999998;70306.63999999998;1993.6800000000007;0.0;15369.88;21844.8;54757.49999999997;54757.49999999999;0.0;0.0;0.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;separated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1026;1026;1;1;5;line_consecutive;0.5;1026;5;1;7-18;3,11;g_000;2;OPTIMAL;111003.28499999996;24.327857971191406;0.0;72869.81499999996;70358.25999999995;2511.5549999999985;404.4000000000001;15334.27;20624.8;54425.06999999997;56578.215;490.00000000000006;1280.0;1770.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;eev;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1026;1026;1;1;5;line_consecutive;0.5;1026;5;1;7-18;3,11;g_000;2;OPTIMAL;111003.285;24.94699788093567;0.0;72869.815;70358.26;2511.5550000000003;404.4000000000001;15334.270000000004;20624.8;54425.07000000001;56578.215;490.00000000000006;1280.0;1770.0;flat (waiting_freq=False)
